Campaign_ID,Name,Start Date,End Date,Channel,Client,Street,City,State,State,Country,Zip,Email,Phone,Contact,Audience,Geschlecht,Altersgruppe,Location,Views,Likes,Clicks,Conversions,Conversion_Rate,Expense,Executive
13,Campaign 13,2023-05-22,2023-06-03,Email,Ramirez|Wilson,6802 Scott Ways,Jasonbury,NM,New Mexico,USA,94299,robertellis@simpson-gutierrez.com,+41408698958325,Christine Nguyen,Female 18-40,Female,18-40,USA,46002,7059,1447,763,"1,66%","35410,1",Becky Brown
14,Campaign 14,2023-04-27,2023-05-10,TikTok,Smith|Bailey,055 Rebecca Ramp,Edwardsland,WY,Wyoming,USA,72139,bakerpaul@holland.com,+05449561427992,Sharon Reeves,Adults 40-60,Unknown,40-60,USA,53589,8009,3579,381,"0,71%","42260,22",Michael Camacho
15,Campaign 15,2023-02-13,2023-02-23,YouTube,Patterson|Sons,0171 Patricia Street Suite 265,Frankmouth,MS,Mississippi,USA,50700,nataliemartinez@hotmail.com,+2281662016,Christopher Riggs,Adults 40-60,Unknown,40-60,Japan,52012,2398,311,106,"0,20%","44445,65",Jesus Rivera
16,Campaign 16,2023-11-02,2023-11-20,Facebook,Lopez PLC,0806 Watson Drive Suite 662,Port Andrea,DE,Delaware,USA,42578,zmcintyre@bauer.info,+3724028579,Barbara Walker,Male 60+,Male,60+,Canada,46834,6492,3250,699,"1,49%","10339,5",Lauren Riggs
17,Campaign 17,2023-10-23,2023-11-16,TikTok,Lewis PLC,621 Woodard Manors Apt. 208,Port Amy,ME,Maine,USA,5157,beth20@gmail.com,+3825051266,Diana Love,Seniors 60+,Unknown,60+,India,87131,3958,4546,221,"0,25%","18477,84",Thomas Ryan
18,Campaign 18,2023-03-28,2023-04-10,Facebook,Patterson|Sons,0171 Patricia Street Suite 265,Frankmouth,MS,Mississippi,USA,50700,nataliemartinez@hotmail.com,+2281662016,Christopher Riggs,Seniors 60+,Unknown,60+,Japan,72204,6080,1948,237,"0,33%","33988,25",Jesus Rivera
19,Campaign 19,2023-12-04,2023-12-26,TikTok,Russell|Wilson|Rogers,27907 Deborah Hill Suite 235,Abigailbury,CO,Colorado,USA,58408,michael78@yahoo.com,+9952136315,Michael Howard,Teens 13-19,Unknown,13-19,Latein America,18166,2849,4847,354,"1,95%","27654,57",Thomas Ryan
20,Campaign 20,2023-11-11,2023-11-16,Email,Schneider PLC,872 Davila Ville Apt. 985,Millerland,GA,Georgia,USA,42888,beasleycraig@yahoo.com,+1430693791,Stephen Murphy,Male 18-40,Male,18-40,Australia,27973,9607,2657,890,"3,18%","10983,11",Lauren Riggs
21,Campaign 21,2023-12-27,2024-01-11,Email,Smith|Bailey,055 Rebecca Ramp,Edwardsland,WY,Wyoming,USA,72139,bakerpaul@holland.com,+05449561427992,Sharon Reeves,Male 40-60,Male,40-60,USA,22897,6256,2286,531,"2,32%","43219,64",Michael Camacho
22,Campaign 22,2023-10-01,2023-10-28,Facebook,Jackson Inc,96299 Miller Spur,Jensenfurt,CA,California,USA,97794,jeremy09@yahoo.com,+5576707467238,Karen Rivers,Male 18-40,Male,18-40,Europe,62876,4035,3722,260,"0,41%","30201,78",Thomas Ryan
23,Campaign 23,2023-06-19,2023-06-24,Facebook,Hunt|Woods|Saunders,48531 Garcia Walk,Gonzalesville,WY,Wyoming,USA,31844,rramsey@warren.com,+1628025355066010,April Brewer,Teens 13-19,Unknown,13-19,Japan,26583,9185,1413,581,"2,19%","49463,69",Melissa Haynes
24,Campaign 24,2023-07-06,2023-07-20,Instagram,Walter Ltd,591 Gallegos Shore,East Jennifer,VT,Vermont,USA,67675,gravessusan@gonzalez.com,+4034303913,Sarah Warren,Male 18-40,Male,18-40,Canada,1215,1832,3794,425,"34,98%","2983,58",Aaron Faulkner
25,Campaign 25,2023-07-15,2023-08-13,YouTube,Lopez PLC,0806 Watson Drive Suite 662,Port Andrea,DE,Delaware,USA,42578,zmcintyre@bauer.info,+3724028579,Barbara Walker,Female 40-60,Female,40-60,Australia,79276,2404,3408,208,"0,26%","12205,58",Lauren Riggs
26,Campaign 26,2023-08-06,2023-08-09,TikTok,Riley PLC,699 Anderson Glen,Parkerside,AZ,Arizona,USA,15616,jennifer09@york.org,+6536891510,Gary Reed,Male 18-40,Male,18-40,Latein America,63453,3788,2515,492,"0,78%","29386,34",Kyle Serrano
27,Campaign 27,2023-09-27,2023-10-02,TikTok,Roberts|Brown,725 Peter Lights Apt. 639,South Janet,WV,West Virginia,USA,83873,nguyendustin@gmail.com,+6259188416213,Samantha Hudson,Male 40-60,Male,40-60,Japan,52218,3238,2450,997,"1,91%","41018,12",Thomas Ryan
28,Campaign 28,2023-11-30,2023-12-07,YouTube,Nunez|Bowers,6821 Walker Via Suite 228,Lake Jessica,NE,Nebraska,USA,5036,michelle44@yahoo.com,+1864384897,James Woods,Female 60+,Female,60+,Latein America,42299,9326,2552,763,"1,80%","29155,51",Wesley Simon
29,Campaign 29,2023-02-20,2023-03-01,Facebook,Ross Group,2397 Allison Knolls Suite 213,Jacksonside,WV,West Virginia,USA,58803,kristopher99@romero.org,+184424524870945,Lauren Graham,Adults 40-60,Unknown,40-60,India,32351,3417,3381,443,"1,37%","25073,88",Brandon Townsend Jr.
30,Campaign 30,2023-08-12,2023-09-08,Email,Morris|Johnson|Anderson,065 John Street,West Adamchester,NV,Nevada,USA,72944,johnsondonald@meyer.com,+32261892539220,Sandy Mathis,Male 18-40,Male,18-40,Australia,11800,1677,729,958,"8,12%","23784,67",Kyle Serrano
31,Campaign 31,2023-02-18,2023-03-06,TikTok,Lyons PLC,20804 Burgess Trace,Petersenburgh,WV,West Virginia,USA,31082,nicholastaylor@yahoo.com,+4964036865,Sharon Crawford,Male 40-60,Male,40-60,India,54734,814,2089,167,"0,31%","1491,41",Lauren Riggs
32,Campaign 32,2023-09-08,2023-09-22,Facebook,Fisher Group,880 Watson Ramp Suite 059,Reynoldsfurt,GU,Guam,USA,10725,brian57@hotmail.com,+11851687120,Jeremy Baker,Female 40-60,Female,40-60,Europe,2208,2309,2423,926,"41,94%","40680,13",Melissa Haynes
33,Campaign 33,2023-12-07,2023-12-23,YouTube,Gray Ltd,Unit 4555 Box 7398,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,owenmelinda@yahoo.com,+1728597837,Mark Long,Adults 40-60,Unknown,40-60,Japan,81576,10000,2916,112,"0,14%","10125,54",Jesus Rivera
34,Campaign 34,2023-06-21,2023-07-19,YouTube,Jackson Inc,96299 Miller Spur,Jensenfurt,CA,California,USA,97794,jeremy09@yahoo.com,+5576707467238,Karen Rivers,Female 18-40,Female,18-40,UK,76659,5247,2547,46,"0,06%","33116,41",Thomas Ryan
35,Campaign 35,2023-05-06,2023-05-30,Email,Holmes|Johnson|Rodriguez,USCGC Erickson,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,polsen@alexander-smith.net,+1479099839029817,Anne Foley,Seniors 60+,Unknown,60+,UK,94539,5735,2844,560,"0,59%","16141,11",Wesley Simon
36,Campaign 36,2023-10-19,2023-11-10,Email,Bradley|Jackson|Miller,190 Bradley Mill Suite 940,Craigbury,MO,Missouri,USA,18832,hansonpatrick@hunt.com,+3551561435486,Dr. David Glass Jr.,Seniors 60+,Unknown,60+,Australia,70092,3449,4199,196,"0,28%","29557,22",Melissa Haynes
37,Campaign 37,2023-01-31,2023-02-14,YouTube,Roberts|Brown,725 Peter Lights Apt. 639,South Janet,WV,West Virginia,USA,83873,nguyendustin@gmail.com,+6259188416213,Samantha Hudson,Seniors 60+,Unknown,60+,UK,54376,1027,2371,155,"0,29%","23431,5",Thomas Ryan
38,Campaign 38,2023-07-08,2023-07-29,Instagram,Valentine|Dunn,723 Julia Burg,Bartonhaven,VT,Vermont,USA,86914,gharrington@yahoo.com,+5835472748,Nathan May,Male 40-60,Male,40-60,Australia,53401,7986,2766,339,"0,63%","8152,59",Melissa Haynes
39,Campaign 39,2023-12-22,2024-01-16,TikTok,Bush|Mendez|Smith,791 Darryl Squares Suite 934,Holdenport,OH,Ohio,USA,41129,churchtimothy@yahoo.com,+3253375294169,Patrick Williams,Teens 13-19,Unknown,13-19,Europe,4701,6450,4786,837,"17,80%","27780,55",Brandon Townsend Jr.
40,Campaign 40,2023-07-17,2023-07-26,Instagram,Lewis PLC,621 Woodard Manors Apt. 208,Port Amy,ME,Maine,USA,5157,beth20@gmail.com,+3825051266,Diana Love,Seniors 60+,Unknown,60+,UK,59513,3950,4168,166,"0,28%","39300,07",Thomas Ryan
41,Campaign 41,2023-05-13,2023-05-21,Instagram,Mcbride|Finley,438 Brent Roads Apt. 855,Tylerburgh,NY,New York,USA,69473,mcclainhannah@jensen-gilbert.com,+8564145259269,Michael Freeman,Adults 18-40,Unknown,18-40,India,8417,1807,3944,303,"3,60%","16209,56",Jesus Rivera
42,Campaign 42,2023-09-07,2023-09-17,TikTok,Valentine|Dunn,723 Julia Burg,Bartonhaven,VT,Vermont,USA,86914,gharrington@yahoo.com,+5835472748,Nathan May,Male 18-40,Male,18-40,Europe,72788,824,2735,769,"1,06%","41623,56",Melissa Haynes
43,Campaign 43,2023-02-18,2023-03-14,Facebook,Reed|Galloway|Buck,49317 Vincent Vista Suite 462,Port Nathan,CA,California,USA,23364,larrygraham@lucas.com,+6697082006,Andrea Simmons,Teens 13-19,Unknown,13-19,USA,88433,5585,3668,716,"0,81%","46147,61",Wesley Simon
44,Campaign 44,2023-01-17,2023-01-25,YouTube,Reyes|Rios,49937 Christopher Unions,Gutierrezmouth,MI,Michigan,USA,13751,cunninghamjerry@gmail.com,+1463956594400079,Eric Davis,Seniors 60+,Unknown,60+,UK,96854,3287,1400,252,"0,26%","11001,04",Wesley Simon
45,Campaign 45,2023-11-30,2023-12-23,Email,Valentine|Dunn,723 Julia Burg,Bartonhaven,VT,Vermont,USA,86914,gharrington@yahoo.com,+5835472748,Nathan May,Female 60+,Female,60+,Europe,4142,2029,2881,171,"4,13%","48920,63",Melissa Haynes
46,Campaign 46,2023-12-28,2024-01-08,YouTube,Thomas|Proctor,820 Butler Streets Suite 875,North Denisehaven,WV,West Virginia,USA,66736,brownmario@leonard.com,+3718900231,Angela Moore,Male 40-60,Male,40-60,Japan,62604,3274,351,278,"0,44%","23547,35",Wesley Simon
47,Campaign 47,2023-07-25,2023-07-29,TikTok,James|Phelps|Burgess,026 Good Ports Apt. 881,Port Adam,KY,Kentucky,USA,82799,edurham@hotmail.com,+8329634717985,Vanessa Miranda,Male 18-40,Male,18-40,Japan,43095,4273,3873,789,"1,83%","34899,92",Lauren Riggs
48,Campaign 48,2023-11-12,2023-12-12,Email,Fox|Carter|Cunningham,99919 Michelle Green Apt. 424,West Hannah,KY,Kentucky,USA,63482,bradymcclain@hotmail.com,+1172175730,Andre Manning,Teens 13-19,Unknown,13-19,Japan,2141,5809,762,866,"40,45%","26462,54",Brandon Townsend Jr.
49,Campaign 49,2023-08-20,2023-08-29,TikTok,Ross Group,2397 Allison Knolls Suite 213,Jacksonside,WV,West Virginia,USA,58803,kristopher99@romero.org,+184424524870945,Lauren Graham,Female 18-40,Female,18-40,Japan,31796,1899,3771,687,"2,16%","36807,52",Brandon Townsend Jr.
50,Campaign 50,2023-03-10,2023-04-06,Instagram,Anderson Inc,Unit 0015 Box 7678,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,jgomez@gmail.com,+3584216618006,Morgan Gross,Female 18-40,Female,18-40,Australia,72501,6711,4852,168,"0,23%","13841,04",Thomas Ryan
51,Campaign 51,2023-05-06,2023-05-29,TikTok,Lopez PLC,0806 Watson Drive Suite 662,Port Andrea,DE,Delaware,USA,42578,zmcintyre@bauer.info,+3724028579,Barbara Walker,Adults 40-60,Unknown,40-60,Australia,55454,5056,591,851,"1,53%","30465,57",Lauren Riggs
52,Campaign 52,2023-03-21,2023-04-15,YouTube,Jones LLC,89103 Jennings Cape Suite 740,South Dianafort,FL,Florida,USA,68504,norrisjames@pearson-burton.biz,+36395706167906,Danielle Hernandez,Seniors 60+,Unknown,60+,India,51625,4100,4176,56,"0,11%","4048,33",Aaron Faulkner
53,Campaign 53,2023-09-28,2023-10-03,YouTube,Parker|Velasquez|Dixon,33302 Fuller Lakes,West Christopher,MH,Marshall Islands,USA,17095,hutchinsonmary@gmail.com,+4704867194830,Brian George,Female 18-40,Female,18-40,Australia,4132,292,1920,99,"2,40%","38057,7",Aaron Faulkner
54,Campaign 54,2023-11-07,2023-12-01,YouTube,Miller|Bryant|Burnett,1044 Kennedy Prairie Apt. 186,Jamiemouth,NE,Nebraska,USA,12690,bjohnson@martin-williams.com,+9588403830,Christopher Clark,Seniors 60+,Unknown,60+,Europe,3140,8259,3955,43,"1,37%",33356,Aaron Faulkner
55,Campaign 55,2023-02-28,2023-03-10,YouTube,Drake|Vasquez,8980 Cox Park,South Robert,NV,Nevada,USA,66099,tylersheila@hicks.com,+1238005701,Teresa Doyle,Male 40-60,Male,40-60,USA,43047,9683,1704,167,"0,39%","49537,77",Michael Camacho
56,Campaign 56,2023-03-12,2023-03-19,YouTube,Drake|Vasquez,8980 Cox Park,South Robert,NV,Nevada,USA,66099,tylersheila@hicks.com,+1238005701,Teresa Doyle,Female 18-40,Female,18-40,Latein America,63864,9076,3256,942,"1,48%","28751,79",Michael Camacho
57,Campaign 57,2023-12-10,2023-12-30,Email,Fisher Group,880 Watson Ramp Suite 059,Reynoldsfurt,GU,Guam,USA,10725,brian57@hotmail.com,+11851687120,Jeremy Baker,Male 60+,Male,60+,USA,63349,6903,2981,990,"1,56%","20800,78",Melissa Haynes
58,Campaign 58,2023-06-15,2023-07-01,Email,Cooper|Alexander,01438 Kristin Fords Apt. 626,Port Paula,WA,Washington,USA,20979,gchavez@yang.com,+2844015003,Alexandria Hansen,Teens 13-19,Unknown,13-19,Latein America,52140,5603,4671,376,"0,72%","16773,75",Thomas Ryan
59,Campaign 59,2023-12-13,2023-12-23,Instagram,Herrera|Cook,0613 David Haven Apt. 354,North Samantha,MI,Michigan,USA,10699,ijordan@gmail.com,+8808919091,Madison York,Seniors 60+,Unknown,60+,Latein America,80160,4125,3975,598,"0,75%","29949,79",Wesley Simon
60,Campaign 60,2023-07-07,2023-07-20,TikTok,Wade PLC,3571 Harvey Centers,Ronaldfurt,NY,New York,USA,35589,nhall@hotmail.com,+3305264186670,Lacey Crane,Male 60+,Male,60+,UK,19067,1410,4989,801,"4,20%","25569,26",Lauren Riggs
61,Campaign 61,2023-05-02,2023-05-26,YouTube,Cunningham|Little,Unit 5043 Box 8770,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,christopher51@watson.net,+111329982486225,Stephanie Fernandez,Female 40-60,Female,40-60,India,28540,6055,2625,799,"2,80%","20281,14",Becky Brown
62,Campaign 62,2023-06-04,2023-06-23,YouTube,Reed|Galloway|Buck,49317 Vincent Vista Suite 462,Port Nathan,CA,California,USA,23364,larrygraham@lucas.com,+6697082006,Andrea Simmons,Female 40-60,Female,40-60,UK,91014,4060,4716,676,"0,74%","18712,37",Wesley Simon
63,Campaign 63,2023-05-21,2023-05-25,Facebook,Herrera|Cook,0613 David Haven Apt. 354,North Samantha,MI,Michigan,USA,10699,ijordan@gmail.com,+8808919091,Madison York,Male 18-40,Male,18-40,Europe,33476,7005,2186,658,"1,97%","4880,75",Wesley Simon
64,Campaign 64,2023-11-14,2023-11-22,Instagram,Edwards LLC,123 Amanda Summit,Lake Marietown,IL,Illinois,USA,81773,tinamckay@sharp-smith.com,+506912217980069,Matthew Davis,Female 60+,Female,60+,Japan,57664,2355,3422,337,"0,58%","49745,62",Melissa Haynes
65,Campaign 65,2023-09-16,2023-10-15,Email,Mcbride|Finley,438 Brent Roads Apt. 855,Tylerburgh,NY,New York,USA,69473,mcclainhannah@jensen-gilbert.com,+8564145259269,Michael Freeman,Teens 13-19,Unknown,13-19,Australia,97778,7583,268,845,"0,86%","46026,43",Jesus Rivera
66,Campaign 66,2023-01-25,2023-02-17,Facebook,Valentine|Dunn,723 Julia Burg,Bartonhaven,VT,Vermont,USA,86914,gharrington@yahoo.com,+5835472748,Nathan May,Female 60+,Female,60+,UK,18061,4533,1310,223,"1,23%","2925,88",Melissa Haynes
67,Campaign 67,2023-01-07,2023-01-20,Facebook,Reed|Galloway|Buck,49317 Vincent Vista Suite 462,Port Nathan,CA,California,USA,23364,larrygraham@lucas.com,+6697082006,Andrea Simmons,Male 18-40,Male,18-40,Europe,45756,9994,2551,867,"1,89%","13427,22",Wesley Simon
68,Campaign 68,2023-07-24,2023-07-30,Instagram,Jones LLC,89103 Jennings Cape Suite 740,South Dianafort,FL,Florida,USA,68504,norrisjames@pearson-burton.biz,+36395706167906,Danielle Hernandez,Male 18-40,Male,18-40,Canada,55022,9822,2702,267,"0,49%","709,58",Aaron Faulkner
69,Campaign 69,2023-06-01,2023-06-10,Email,Bernard|Sons,8622 Ricky Knoll,New Jenniferville,GA,Georgia,USA,79764,johnsonrobert@white.com,+6182418484012,Julia Moore,Adults 18-40,Unknown,18-40,India,53075,8233,1358,456,"0,86%","31296,65",Thomas Ryan
70,Campaign 70,2023-06-05,2023-06-25,Facebook,White Ltd,172 Angela Crescent Apt. 306,North Laura,HI,Hawaii,USA,69094,jeremy56@gmail.com,+3201853187395,Nathan Weber,Male 40-60,Male,40-60,Latein America,93754,7829,1630,828,"0,88%","19748,38",Jesus Rivera
71,Campaign 71,2023-04-08,2023-04-29,Facebook,Melton|Smith,03793 Jacobs Branch,West Max,MA,Massachusetts,USA,54633,mercertimothy@huff.com,+7295758232,Patrick Abbott,Male 18-40,Male,18-40,Australia,42436,2470,3712,217,"0,51%","20766,96",Lauren Riggs
72,Campaign 72,2023-12-01,2023-12-30,TikTok,Fox|Carter|Cunningham,99919 Michelle Green Apt. 424,West Hannah,KY,Kentucky,USA,63482,bradymcclain@hotmail.com,+1172175730,Andre Manning,Male 40-60,Male,40-60,Australia,30996,2704,2940,84,"0,27%","25009,46",Brandon Townsend Jr.
73,Campaign 73,2023-10-01,2023-10-30,YouTube,Edwards LLC,123 Amanda Summit,Lake Marietown,IL,Illinois,USA,81773,tinamckay@sharp-smith.com,+506912217980069,Matthew Davis,Male 60+,Male,60+,Europe,49630,8858,3114,550,"1,11%","7778,44",Melissa Haynes
74,Campaign 74,2023-10-26,2023-11-16,YouTube,Holloway|Cox|Ford,7800 Dorsey Tunnel Suite 734,West Tracy,UT,Utah,USA,56027,joseph49@hodges-campbell.com,+0118358647901,Dennis Carr,Adults 18-40,Unknown,18-40,India,46763,3399,1689,982,"2,10%","49960,87",Brandon Townsend Jr.
75,Campaign 75,2023-12-22,2023-12-29,YouTube,Wade PLC,3571 Harvey Centers,Ronaldfurt,NY,New York,USA,35589,nhall@hotmail.com,+3305264186670,Lacey Crane,Female 60+,Female,60+,Latein America,96168,7961,2812,216,"0,22%","46137,32",Lauren Riggs
76,Campaign 76,2023-05-17,2023-05-21,YouTube,Parker|Velasquez|Dixon,33302 Fuller Lakes,West Christopher,MH,Marshall Islands,USA,17095,hutchinsonmary@gmail.com,+4704867194830,Brian George,Female 18-40,Female,18-40,USA,30561,5605,3619,949,"3,11%","39465,52",Aaron Faulkner
77,Campaign 77,2023-06-12,2023-06-17,Instagram,Edwards LLC,123 Amanda Summit,Lake Marietown,IL,Illinois,USA,81773,tinamckay@sharp-smith.com,+506912217980069,Matthew Davis,Male 40-60,Male,40-60,Australia,50339,1131,4928,410,"0,81%","39922,28",Melissa Haynes
78,Campaign 78,2023-06-13,2023-07-06,Facebook,Morris|Johnson|Anderson,065 John Street,West Adamchester,NV,Nevada,USA,72944,johnsondonald@meyer.com,+32261892539220,Sandy Mathis,Adults 18-40,Unknown,18-40,Latein America,92679,4501,495,612,"0,66%","24834,69",Kyle Serrano
79,Campaign 79,2023-09-30,2023-10-15,TikTok,Green|Lloyd|Ball,30284 Villarreal Passage Apt. 698,Brownshire,NV,Nevada,USA,89609,wrightlucas@yahoo.com,+56229307994586,Shelly Stafford,Male 40-60,Male,40-60,Canada,94198,4398,2283,457,"0,49%","17012,4",Jesus Rivera
80,Campaign 80,2023-02-15,2023-02-25,Instagram,Smith|Bailey,055 Rebecca Ramp,Edwardsland,WY,Wyoming,USA,72139,bakerpaul@holland.com,+05449561427992,Sharon Reeves,Female 18-40,Female,18-40,Canada,75181,5844,3427,861,"1,15%","29248,22",Michael Camacho
81,Campaign 81,2023-10-06,2023-10-23,Facebook,Jimenez|Sons,8451 Walter Fords Apt. 737,South Danielchester,CT,Connecticut,USA,12719,amartinez@oconnell.com,+4051640984570,Justin Cole,Adults 40-60,Unknown,40-60,Japan,23830,859,448,405,"1,70%","24992,08",Jesus Rivera
82,Campaign 82,2023-09-11,2023-10-03,YouTube,Daniels Group,567 Jill Motorway,Sarabury,GU,Guam,USA,20455,michael10@gmail.com,+6445688783,Annette Rice,Female 40-60,Female,40-60,Europe,10516,3199,4683,504,"4,79%","31206,02",Wesley Simon
83,Campaign 83,2023-08-19,2023-08-29,Instagram,Holloway|Cox|Ford,7800 Dorsey Tunnel Suite 734,West Tracy,UT,Utah,USA,56027,joseph49@hodges-campbell.com,+0118358647901,Dennis Carr,Male 18-40,Male,18-40,UK,76149,1516,2464,113,"0,15%","1690,49",Brandon Townsend Jr.
84,Campaign 84,2023-07-14,2023-08-04,Email,Green|Blake,230 Brandon Bypass Apt. 679,New Melissa,TN,Tennessee,USA,37505,karenpayne@yahoo.com,+399882061459395,Dustin Ramirez,Female 40-60,Female,40-60,Canada,92949,4717,2324,953,"1,03%","23215,97",Jesus Rivera
85,Campaign 85,2023-06-19,2023-06-26,TikTok,Bernard|Sons,8622 Ricky Knoll,New Jenniferville,GA,Georgia,USA,79764,johnsonrobert@white.com,+6182418484012,Julia Moore,Teens 13-19,Unknown,13-19,UK,38814,3125,1259,798,"2,06%","19608,69",Thomas Ryan
86,Campaign 86,2023-07-12,2023-08-10,Email,Vaughan Group,PSC 0937,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,baldwinhailey@klein-fitzgerald.com,+1349058667435806,Ashley Carter,Female 40-60,Female,40-60,UK,23443,323,3225,912,"3,89%","48880,35",Jesus Rivera
87,Campaign 87,2023-01-05,2023-01-13,YouTube,Anderson Inc,Unit 0015 Box 7678,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,Military / Anonymous Location,jgomez@gmail.com,+3584216618006,Morgan Gross,Teens 13-19,Unknown,13-19,USA,17483,8443,2784,750,"4,29%","6503,58",Thomas Ryan
88,Campaign 88,2023-03-16,2023-03-26,Facebook,Weaver|Garner|Ramos,2933 Ortiz Overpass Suite 099,South Douglasburgh,KY,Kentucky,USA,52632,oscott@gmail.com,+4989787718501,Melinda Johnston,Female 60+,Female,60+,Japan,19274,7457,2486,886,"4,60%","32546,35",Brandon Townsend Jr.
89,Campaign 89,2023-07-20,2023-07-24,TikTok,Jones LLC,89103 Jennings Cape Suite 740,South Dianafort,FL,Florida,USA,68504,norrisjames@pearson-burton.biz,+36395706167906,Danielle Hernandez,Teens 13-19,Unknown,13-19,USA,45693,3968,2534,634,"1,39%","36032,25",Aaron Faulkner
90,Campaign 90,2023-02-08,2023-03-05,TikTok,Hernandez Inc,9452 Amber Mills,Lopezville,NV,Nevada,USA,94038,uhansen@livingston.com,+151947089311832,Traci Holden,Adults 40-60,Unknown,40-60,Europe,60840,2468,1174,395,"0,65%","12063,17",Melissa Haynes
91,Campaign 91,2023-01-26,2023-02-24,Email,Edwards LLC,123 Amanda Summit,Lake Marietown,IL,Illinois,USA,81773,tinamckay@sharp-smith.com,+506912217980069,Matthew Davis,Seniors 60+,Unknown,60+,Canada,76351,7932,2099,169,"0,22%","2555,32",Melissa Haynes
